Country,Region,Year,Value
Abkhazia,Europe and Eurasia,1992,2
Abkhazia,Europe and Eurasia,1993,4
Abkhazia,Europe and Eurasia,1994,6
Abkhazia,Europe and Eurasia,1997,4
Abkhazia,Europe and Eurasia,1998,11
Abkhazia,Europe and Eurasia,1999,4
Abkhazia,Europe and Eurasia,2000,5
Abkhazia,Europe and Eurasia,2001,5
Abkhazia,Europe and Eurasia,2002,3
Abkhazia,Europe and Eurasia,2003,1
Abkhazia,Europe and Eurasia,2004,1
Abkhazia,Europe and Eurasia,2005,1
Abkhazia,Europe and Eurasia,2008,4
Aceh,Asia and Pacific,2000,5
Aceh,Asia and Pacific,2001,9
Aceh,Asia and Pacific,2002,4
Aceh,Asia and Pacific,2005,1
Afghanistan,Cross-regional,2007,1
Afghanistan,Europe and Eurasia,1992,1
Afghanistan,Europe and Eurasia,1993,1
Afghanistan,Europe and Eurasia,1999,1
Afghanistan,Europe and Eurasia,2001,1
Afghanistan,Europe and Eurasia,2002,2
Afghanistan,Europe and Eurasia,2004,1
Afghanistan,Europe and Eurasia,2006,1
Afghanistan,Europe and Eurasia,2007,1
Afghanistan,Europe and Eurasia,2008,1
Afghanistan,Europe and Eurasia,2009,2
Afghanistan,Europe and Eurasia,2010,3
Afghanistan,Europe and Eurasia,2011,2
Afghanistan,Europe and Eurasia,2012,1
Afghanistan,Europe and Eurasia,2014,1
Afghanistan,Europe and Eurasia,2016,1
African Great Lakes,Africa (excl MENA),2004,1
African Great Lakes,Africa (excl MENA),2006,2
African Great Lakes,Africa (excl MENA),2007,1
African Great Lakes,Africa (excl MENA),2013,1
Air and Azawad,Africa (excl MENA),1994,1
Air and Azawad,Africa (excl MENA),1995,1
Air and Azawad,Africa (excl MENA),1997,1
Air and Azawad,Africa (excl MENA),1998,1
Algeria,Middle East and North Africa,1994,1
Algeria,Middle East and North Africa,1995,1
Algeria,Middle East and North Africa,1996,1
Algeria,Middle East and North Africa,1999,2
Algeria,Middle East and North Africa,2005,1
Angola,Africa (excl MENA),1991,4
Angola,Africa (excl MENA),1993,1
Angola,Africa (excl MENA),1994,1
Angola,Africa (excl MENA),1998,1
Angola,Africa (excl MENA),1999,3
Angola,Africa (excl MENA),2002,2
Angola,Africa (excl MENA),2004,1
Angola,Africa (excl MENA),2006,3
Angola,Africa (excl MENA),2013,1
Anjouan,Africa (excl MENA),1997,1
Anjouan,Africa (excl MENA),1999,1
Anjouan,Africa (excl MENA),2000,1
Anjouan,Africa (excl MENA),2001,3
Anjouan,Africa (excl MENA),2003,1
Anjouan,Africa (excl MENA),2010,1
Argentina,Cross-regional,1990,1
Argentina,Cross-regional,1995,1
Armenia,Europe and Eurasia,1991,1
Armenia,Europe and Eurasia,1992,1
Armenia,Europe and Eurasia,1993,11
Armenia,Europe and Eurasia,1994,4
Armenia,Europe and Eurasia,1995,1
Armenia,Europe and Eurasia,2008,1
Armenia,Europe and Eurasia,2010,2
Armenia,Europe and Eurasia,2011,1
Armenia,Europe and Eurasia,2016,1
Armenia,Europe and Eurasia,2017,1
Assam,Asia and Pacific,1995,1
Aweil Counties,Africa (excl MENA),2013,1
Azawad,Africa (excl MENA),1991,1
Azawad,Africa (excl MENA),1992,1
Azawad,Africa (excl MENA),2006,1
Azawad,Africa (excl MENA),2012,1
Azawad,Africa (excl MENA),2013,2
Azawad,Africa (excl MENA),2014,9
Azawad,Africa (excl MENA),2015,3
Azawad,Africa (excl MENA),2016,1
Azerbaijan,Europe and Eurasia,1991,1
Azerbaijan,Europe and Eurasia,1992,1
Azerbaijan,Europe and Eurasia,1993,11
Azerbaijan,Europe and Eurasia,1994,4
Azerbaijan,Europe and Eurasia,1995,1
Azerbaijan,Europe and Eurasia,2008,1
Azerbaijan,Europe and Eurasia,2010,2
Azerbaijan,Europe and Eurasia,2011,1
Azerbaijan,Europe and Eurasia,2016,1
Azerbaijan,Europe and Eurasia,2017,1
Bahrain,Middle East and North Africa,2001,1
Bahrain,Middle East and North Africa,2011,3
