Type,"Country Code","Series Code","Description"
Country-Series,"Aruba (ABW)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: United Nations World Population Prospects"
Country-Series,"Aruba (ABW)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: United Nations World Population Prospects"
Country-Series,"Aruba (ABW)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Aruba (ABW)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Aruba (ABW)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Afghanistan (AFG)","Military expenditure (current USD) (MS.MIL.XPND.CD)","2004 SIPRI estimates."
Country-Series,"Afghanistan (AFG)","Military expenditure (current LCU) (MS.MIL.XPND.CN)","2004 SIPRI estimates."
Country-Series,"Afghanistan (AFG)","Military expenditure (% of general government expenditure) (MS.MIL.XPND.ZS)","2004 SIPRI estimates."
Country-Series,"Afghanistan (AFG)","GDP, PPP (current international $) (NY.GDP.MKTP.PP.CD)","Estimates are based on regression."
Country-Series,"Afghanistan (AFG)","GDP, PPP (constant 2011 international $) (NY.GDP.MKTP.PP.KD)","Estimates are based on regression."
Country-Series,"Afghanistan (AFG)","GDP per capita, PPP (current international $) (NY.GDP.PCAP.PP.CD)","Estimates are based on regression."
Country-Series,"Afghanistan (AFG)","GDP per capita, PPP (constant 2011 international $) (NY.GDP.PCAP.PP.KD)","Estimates are based on regression."
Country-Series,"Afghanistan (AFG)","PPP conversion factor, private consumption (LCU per international $) (PA.NUS.PRVT.PP)","Estimates are based on regression."
Country-Series,"Afghanistan (AFG)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: United Nations World Population Prospects"
Country-Series,"Afghanistan (AFG)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: United Nations World Population Prospects"
Country-Series,"Afghanistan (AFG)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Afghanistan (AFG)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Afghanistan (AFG)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Angola (AGO)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: United Nations World Population Prospects"
Country-Series,"Angola (AGO)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: United Nations World Population Prospects"
Country-Series,"Angola (AGO)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Angola (AGO)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Angola (AGO)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Albania (ALB)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: United Nations World Population Prospects"
Country-Series,"Albania (ALB)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: United Nations World Population Prospects"
Country-Series,"Albania (ALB)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Albania (ALB)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Albania (ALB)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: United Nations World Population Prospects"
Country-Series,"United Arab Emirates (ARE)","Military expenditure (current USD) (MS.MIL.XPND.CD)","1997-2014 SIPRI estimates."
Country-Series,"United Arab Emirates (ARE)","Military expenditure (current LCU) (MS.MIL.XPND.CN)","1997-2014 SIPRI estimates."
