Field,Value,Year
Colombia_hdi,0.592,1990
Colombia_hdi,0.595,1991
Colombia_hdi,0.606,1992
Colombia_hdi,0.612,1993
Colombia_hdi,0.619,1994
Colombia_hdi,0.625,1995
Colombia_hdi,0.634,1996
Colombia_hdi,0.642,1997
Colombia_hdi,0.649,1998
Colombia_hdi,0.649,1999
Colombia_hdi,0.653,2000
Colombia_hdi,0.656,2001
Colombia_hdi,0.658,2002
Colombia_hdi,0.657,2003
Colombia_hdi,0.671,2004
Colombia_hdi,0.683,2005
Colombia_hdi,0.691,2006
Colombia_hdi,0.704,2007
Colombia_hdi,0.71,2008
Colombia_hdi,0.715,2009
Colombia_hdi,0.719,2010
Colombia_hdi,0.725,2011
Colombia_hdi,0.725,2012
Colombia_hdi,0.735,2013
Colombia_hdi,0.738,2014
Colombia_hdi,0.742,2015
Colombia_hdi,0.747,2016
Colombia_hdi,0.747,2017
Region_hdi,0.6083478260869566,1990
Region_hdi,0.6121304347826086,1991
Region_hdi,0.6173913043478262,1992
Region_hdi,0.6224782608695653,1993
Region_hdi,0.627478260869565,1994
Region_hdi,0.6324347826086957,1995
Region_hdi,0.639,1996
Region_hdi,0.6451739130434782,1997
Region_hdi,0.6506086956521738,1998
Region_hdi,0.6554782608695653,1999
Region_hdi,0.6619583333333333,2000
Region_hdi,0.66675,2001
Region_hdi,0.6716799999999999,2002
Region_hdi,0.6751600000000001,2003
Region_hdi,0.6808846153846153,2004
Region_hdi,0.6887037037037037,2005
Region_hdi,0.6938888888888891,2006
Region_hdi,0.6998518518518521,2007
Region_hdi,0.7051481481481482,2008
Region_hdi,0.7059259259259257,2009
Region_hdi,0.7105185185185184,2010
Region_hdi,0.7148148148148147,2011
Region_hdi,0.7177037037037036,2012
Region_hdi,0.7221481481481482,2013
Region_hdi,0.7267777777777776,2014
Region_hdi,0.7301851851851852,2015
Region_hdi,0.7326666666666668,2016
Region_hdi,0.7338518518518518,2017
