Field,Value,Year
Colombia_leb,66.926,1980
Colombia_leb,67.38,1981
Colombia_leb,67.80199999999999,1982
Colombia_leb,68.187,1983
Colombia_leb,68.529,1984
Colombia_leb,68.82300000000001,1985
Colombia_leb,69.065,1986
Colombia_leb,69.266,1987
Colombia_leb,69.436,1988
Colombia_leb,69.59100000000001,1989
Colombia_leb,69.75,1990
Colombia_leb,69.936,1991
Colombia_leb,70.161,1992
Colombia_leb,70.433,1993
Colombia_leb,70.752,1994
Colombia_leb,71.112,1995
Colombia_leb,71.497,1996
Colombia_leb,71.887,1997
Colombia_leb,72.264,1998
Colombia_leb,72.619,1999
Colombia_leb,72.945,2000
Colombia_leb,73.241,2001
Colombia_leb,73.517,2002
Colombia_leb,73.777,2003
Colombia_leb,74.02600000000001,2004
Colombia_leb,74.265,2005
Colombia_leb,74.5,2006
Colombia_leb,74.732,2007
Colombia_leb,74.962,2008
Colombia_leb,75.193,2009
Colombia_leb,75.42399999999999,2010
Colombia_leb,75.655,2011
Colombia_leb,75.882,2012
Colombia_leb,76.105,2013
Colombia_leb,76.322,2014
Colombia_leb,76.531,2015
Colombia_leb,76.732,2016
Colombia_leb,76.925,2017
Region_leb,65.90151076040172,1980
Region_leb,66.24671090387375,1981
Region_leb,66.82675609756097,1982
Region_leb,67.08974773519162,1983
Region_leb,67.41543902439022,1984
Region_leb,67.72433310104532,1985
Region_leb,68.05854146341464,1986
Region_leb,68.3975728411338,1987
Region_leb,68.67744041811847,1988
Region_leb,68.96557560975609,1989
Region_leb,69.24891358885017,1990
Region_leb,69.55737560975611,1991
Region_leb,69.86500659195781,1992
Region_leb,70.0595630662021,1993
Region_leb,70.31260418118465,1994
Region_leb,70.55849198606273,1995
Region_leb,70.803806271777,1996
Region_leb,71.15323994726435,1997
Region_leb,71.29197142857143,1998
Region_leb,71.53557351916376,1999
Region_leb,71.80261463414635,2000
Region_leb,72.0654494773519,2001
Region_leb,72.39100856954515,2002
Region_leb,72.5190891986063,2003
Region_leb,72.7334850174216,2004
Region_leb,72.9207651567944,2005
Region_leb,73.14776236933798,2006
Region_leb,73.32543563685638,2007
Region_leb,73.50443495934957,2008
Region_leb,73.72983807588075,2009
Region_leb,74.10569850948508,2010
Region_leb,74.07175609756098,2011
Region_leb,74.22493021680216,2012
Region_leb,74.43803902439022,2013
Region_leb,74.6091630662021,2014
Region_leb,74.7775289198606,2015
Region_leb,74.93774912891986,2016
Region_leb,75.09365714285715,2017
