Year,Region,Reg_count,PathOrder
1990,Africa (excl MENA),16,1
1990,Africa (excl MENA),16,5
1990,Americas,20,1
1990,Americas,20,5
1990,Asia and Pacific,4,1
1990,Asia and Pacific,4,5
1990,Cross-regional,2,1
1990,Cross-regional,2,5
1990,Europe and Eurasia,0,1
1990,Europe and Eurasia,0,5
1990,Middle East and North Africa,2,1
1990,Middle East and North Africa,2,5
1991,Africa (excl MENA),23,1
1991,Africa (excl MENA),23,5
1991,Americas,23,1
1991,Americas,23,5
1991,Asia and Pacific,9,1
1991,Asia and Pacific,9,5
1991,Cross-regional,1,1
1991,Cross-regional,1,5
1991,Europe and Eurasia,24,1
1991,Europe and Eurasia,24,5
1991,Middle East and North Africa,4,1
1991,Middle East and North Africa,4,5
1992,Africa (excl MENA),17,1
1992,Africa (excl MENA),17,5
1992,Americas,12,1
1992,Americas,12,5
1992,Asia and Pacific,2,1
1992,Asia and Pacific,2,5
1992,Cross-regional,0,1
1992,Cross-regional,0,5
1992,Europe and Eurasia,52,1
1992,Europe and Eurasia,52,5
1992,Middle East and North Africa,0,1
1992,Middle East and North Africa,0,5
1993,Africa (excl MENA),16,1
1993,Africa (excl MENA),16,5
1993,Americas,4,1
1993,Americas,4,5
1993,Asia and Pacific,6,1
1993,Asia and Pacific,6,5
1993,Cross-regional,1,1
1993,Cross-regional,1,5
1993,Europe and Eurasia,62,1
1993,Europe and Eurasia,62,5
1993,Middle East and North Africa,3,1
1993,Middle East and North Africa,3,5
1994,Africa (excl MENA),14,1
1994,Africa (excl MENA),14,5
1994,Americas,14,1
1994,Americas,14,5
1994,Asia and Pacific,8,1
1994,Asia and Pacific,8,5
1994,Cross-regional,4,1
1994,Cross-regional,4,5
1994,Europe and Eurasia,45,1
1994,Europe and Eurasia,45,5
1994,Middle East and North Africa,8,1
1994,Middle East and North Africa,8,5
1995,Africa (excl MENA),3,1
1995,Africa (excl MENA),3,5
1995,Americas,6,1
1995,Americas,6,5
1995,Asia and Pacific,8,1
1995,Asia and Pacific,8,5
1995,Cross-regional,1,1
1995,Cross-regional,1,5
1995,Europe and Eurasia,36,1
1995,Europe and Eurasia,36,5
1995,Middle East and North Africa,11,1
1995,Middle East and North Africa,11,5
1996,Africa (excl MENA),6,1
1996,Africa (excl MENA),6,5
1996,Americas,15,1
1996,Americas,15,5
1996,Asia and Pacific,5,1
1996,Asia and Pacific,5,5
1996,Cross-regional,5,1
1996,Cross-regional,5,5
1996,Europe and Eurasia,31,1
1996,Europe and Eurasia,31,5
1996,Middle East and North Africa,4,1
1996,Middle East and North Africa,4,5
1997,Africa (excl MENA),14,1
1997,Africa (excl MENA),14,5
1997,Americas,4,1
1997,Americas,4,5
1997,Asia and Pacific,19,1
1997,Asia and Pacific,19,5
1997,Cross-regional,0,1
1997,Cross-regional,0,5
1997,Europe and Eurasia,29,1
1997,Europe and Eurasia,29,5
1997,Middle East and North Africa,6,1
1997,Middle East and North Africa,6,5
1998,Africa (excl MENA),12,1
1998,Africa (excl MENA),12,5
1998,Americas,16,1
1998,Americas,16,5
1998,Asia and Pacific,18,1
1998,Asia and Pacific,18,5
1998,Cross-regional,2,1
1998,Cross-regional,2,5
1998,Europe and Eurasia,17,1
1998,Europe and Eurasia,17,5
1998,Middle East and North Africa,1,1
1998,Middle East and North Africa,1,5
1999,Africa (excl MENA),24,1
1999,Africa (excl MENA),24,5
1999,Americas,15,1
1999,Americas,15,5
1999,Asia and Pacific,26,1
1999,Asia and Pacific,26,5
1999,Cross-regional,2,1
1999,Cross-regional,2,5
1999,Europe and Eurasia,14,1
1999,Europe and Eurasia,14,5
1999,Middle East and North Africa,4,1
1999,Middle East and North Africa,4,5
2000,Africa (excl MENA),8,1
2000,Africa (excl MENA),8,5
2000,Americas,15,1
2000,Americas,15,5
2000,Asia and Pacific,23,1
2000,Asia and Pacific,23,5
2000,Cross-regional,0,1
2000,Cross-regional,0,5
2000,Europe and Eurasia,12,1
2000,Europe and Eurasia,12,5
2000,Middle East and North Africa,2,1
2000,Middle East and North Africa,2,5
2001,Africa (excl MENA),9,1
2001,Africa (excl MENA),9,5
2001,Americas,11,1
2001,Americas,11,5
2001,Asia and Pacific,24,1
2001,Asia and Pacific,24,5
2001,Cross-regional,1,1
2001,Cross-regional,1,5
2001,Europe and Eurasia,12,1
2001,Europe and Eurasia,12,5
2001,Middle East and North Africa,1,1
2001,Middle East and North Africa,1,5
2002,Africa (excl MENA),25,1
2002,Africa (excl MENA),25,5
2002,Americas,3,1
2002,Americas,3,5
2002,Asia and Pacific,19,1
2002,Asia and Pacific,19,5
2002,Cross-regional,0,1
2002,Cross-regional,0,5
2002,Europe and Eurasia,6,1
2002,Europe and Eurasia,6,5
2002,Middle East and North Africa,0,1
2002,Middle East and North Africa,0,5
2003,Africa (excl MENA),28,1
2003,Africa (excl MENA),28,5
2003,Americas,1,1
2003,Americas,1,5
2003,Asia and Pacific,16,1
2003,Asia and Pacific,16,5
2003,Cross-regional,0,1
2003,Cross-regional,0,5
2003,Europe and Eurasia,4,1
2003,Europe and Eurasia,4,5
2003,Middle East and North Africa,2,1
2003,Middle East and North Africa,2,5
2004,Africa (excl MENA),24,1
2004,Africa (excl MENA),24,5
2004,Americas,1,1
2004,Americas,1,5
2004,Asia and Pacific,11,1
2004,Asia and Pacific,11,5
2004,Cross-regional,2,1
2004,Cross-regional,2,5
2004,Europe and Eurasia,5,1
2004,Europe and Eurasia,5,5
2004,Middle East and North Africa,4,1
2004,Middle East and North Africa,4,5
2005,Africa (excl MENA),9,1
2005,Africa (excl MENA),9,5
2005,Americas,0,1
2005,Americas,0,5
2005,Asia and Pacific,13,1
2005,Asia and Pacific,13,5
2005,Cross-regional,2,1
2005,Cross-regional,2,5
2005,Europe and Eurasia,1,1
2005,Europe and Eurasia,1,5
2005,Middle East and North Africa,5,1
2005,Middle East and North Africa,5,5
2006,Africa (excl MENA),25,1
2006,Africa (excl MENA),25,5
2006,Americas,0,1
2006,Americas,0,5
2006,Asia and Pacific,26,1
2006,Asia and Pacific,26,5
2006,Cross-regional,2,1
2006,Cross-regional,2,5
2006,Europe and Eurasia,4,1
2006,Europe and Eurasia,4,5
2006,Middle East and North Africa,4,1
2006,Middle East and North Africa,4,5
2007,Africa (excl MENA),23,1
2007,Africa (excl MENA),23,5
2007,Americas,0,1
2007,Americas,0,5
2007,Asia and Pacific,14,1
2007,Asia and Pacific,14,5
2007,Cross-regional,2,1
2007,Cross-regional,2,5
2007,Europe and Eurasia,1,1
2007,Europe and Eurasia,1,5
2007,Middle East and North Africa,4,1
2007,Middle East and North Africa,4,5
2008,Africa (excl MENA),38,1
2008,Africa (excl MENA),38,5
2008,Americas,1,1
2008,Americas,1,5
2008,Asia and Pacific,11,1
2008,Asia and Pacific,11,5
2008,Cross-regional,2,1
2008,Cross-regional,2,5
2008,Europe and Eurasia,6,1
2008,Europe and Eurasia,6,5
2008,Middle East and North Africa,6,1
2008,Middle East and North Africa,6,5
2009,Africa (excl MENA),23,1
