Countries,Count
(Abkhazia),5
(African Great Lakes),5
(Bougainville),5
(Darfur),1
(East Timor),3
(Nagorno-Karabakh),9
(Northern Ireland),22
(Ossetia),5
(Palestine),5
(Southern Kordofan - Blue Nile - Abyei),1
(Transdniestria),4
(United Nations),1
(Western Sahara),3
ABB),2
Abkhazia,46
Aceh,19
Afghanistan,21
Air and Azawad,4
Algeria,6
Angola,17
Anjouan,8
Argentina,2
Armenia,24
Assam,1
Aweil Counties,1
Azawad,19
Azerbaijan,24
Bahrain,5
Bangladesh,1
Basque Country,3
Bodoland,3
Bosnia and Herzegovina,133
Bougainville,30
Burundi,29
Cabinda ,1
Cambodia,6
Cameroon,2
Casamance,2
Central African Republic,24
Chad,14
Chechnya,21
China,16
Chittagong Hill Tracts,1
Colombia,129
Comoros,8
Cordillera,1
Costa Rica,1
Cote d'Ivoire,19
Croatia,46
Darfur,24
Darjeeling,3
Democratic Republic of Congo,31
Djibouti,4
East Timor,3
Eastern Sudan,1
Ecuador,14
El Salvador,15
Eritrea,12
Ethiopia,15
France,1
Gabon,1
Georgia,64
Germany,1
Gogrial West County,1
Guatemala,19
Guinea,2
Guinea-Bissau,6
Haiti,4
Honduras,3
India,30
Indonesia,22
Iraq,11
Ireland,34
Israel,35
Japan,1
Jordan,4
Kazakhstan,2
Kenya,31
Kosovo,24
Kurds-Kurdistan,3
Kuwait,1
Kyrgyzstan,1
Lebanon,7
Lesotho,5
Liberia,30
Libya,40
Macedonia,1
Madagascar,11
Mali,21
Manipur,1
Mexico,6
Mindanao,126
Mizoram,3
Moldova,6
Moluccas,2
Mongolia,3
Mopti,1
Morocco,11
Mozambique,13
Myanmar,35
Nagaland,6
Nagorno-Karabakh,15
Namibia,4
Nepal,51
Nicaragua,8
Niger,5
Nigeria,12
North Korea,10
Northern Ireland,12
Ogaden,5
Ossetia,9
Pakistan,14
Palestine,38
Papua New Guinea,34
Peru,14
Philippines,158
Plateau State,5
Portugal,1
Presevo Valley,3
Puntland,10
RPA,2
Rebolusyonaryong Alyansang Makabansa (SFP-YOU) ,1
Rebolusyonaryong Partido ng Manggagawa-Pilipineas (RPMP,2
Republic of Congo,7
Russia,74
Rwanda,16
Saudi Arabia,2
Senegal,2
Serbia,27
Sierra Leone,9
Slovenia,3
Solomon Islands,3
Somalia,55
Somaliland,1
South Africa,16
South Korea,7
South Sudan,102
Southern Kaduna,1
Southern Kordofan - Blue Nile - Abyei,17
Spain,3
Sri Lanka,25
Sudan,102
Syria,85
Tajikistan,22
Taliban,6
Tanzania,4
Terekeka,1
Thailand,1
Togo,3
Transdniestria,2
Tripura,1
Tunisia,1
Turkey,1
Twic County,1
Uganda,26
Ukraine,6
United Kingdom,37
United Nations,2
United States of America,6
Venezuela,1
Western Sahara,8
Yemen,48
Yugoslavia (former),208
Zambia,4
Zimbabwe,3
